NARRATIVE,injury_level
employee stepped rock twisted left knee carrying comealongs employee start losing time due surgery misc mail losing time due another surgery,Major
roof fall occurred roof bolt anchorage prop entry 1 entry intersection spad 18422 2 longwall area rock fall approximately 40 foot 22 foot wide roof fell approximately 4 foot roof bolt anchorage,Minor
reportable due stitch employee shoveling belt roller caught glove roller cutting finger,Minor
reportable time lost employee bretby chain caught finger chain mashing cutting finger requiring stitch,Minor
accident illness part 90 miner miin m64567381,Minor
employee shoveling turned shovel full walk belt foot stuck muck felt pain back employee start losing time due increased pain,Major
reportable employee adjusting rail rail car jack bar rail shifted employee left middle finger caught jack bar rail causing laceration requiring suture fracture tip finger,Minor
employee pulling shuttle car scoop bolt head attached bracket shuttle car pulled sheared resulting one bolt head flying back striking employee top eye causing injury eye face ee rtw taken back work additional treatment,Major
employee adjusting motor base using pry bar slipped causing employee fall left ankle causing injury,Major
working secondary plant wrenched back want go doctor time stated would seek chiropractic care expense using shovel first report injury written oct 1 2004 record medical attention sought oct 1 according work comp in carrier april 8 2005 released restriction,Major
near miss cardox tube went unexpectedly loaded production worker tube loading fixture discharged,Minor
ee rolling wire feeder towards pan middle finger caught handle end pan,Minor
employee slipped slurry spill cleaning twisted right knee seek medical attention time requested see doctor knee still hurting employee saw doctor negative got corticosteroid injection inflammation mri scheduled,Major
loader backed manlift causing person fall landed cage manlift,Major
ee using torch heat metal power center pull back place chain broke small piece metal embedded neck,Major
cutting tailgate crossing 773 174 shiled small piece rock 4 x3 x6 0 fell shield struck ee head area,Major
straightening oxygen bottle tried sliding bottle cap cap came hit lower lip right front,Minor
ee stated walking steep grade go 2 belt slipped falling back tried catch,Major
employee stated using low trac clean beside conveyer roller bracket,Major
based information received present appears ignition caused spark tailgate drum ignited unknown blleder trimming hand bottom msha notified inve stigation conducted,Minor
pocket ch4 ignited shearer cut toward headgate flame lasted second,Minor
ee working diesel mantrip strained back crawling,Major
ee bent cross conveyor belt difficulty standing back reached side,Major
employee walking stair twisted knee note employee begin missing work,Major
employee strained lifting lid toolbox hernia developed required medical care ee began missing work,Major
ee moved next shield slipped fell backwards onto began missing work,Major
miner roof bolting drill steel became stopped striking steel attempting unstop missed struck miner face,Major
employee putting cover 3920 flinger duster right hand got caught cover radiator cap 3 suture right ring finger,Major
employee working bucket loader apperently ventilation elbow tubing shifted hitting employee lower left leg,Major
employee helping unload monorail box operator equipment went back fork went top employee foot,Major
employee walking hill miner felt something pull right calf employee start missing time injury january 9 2012,Major
employee washing floor water hose slipped hand metal fitting hit employee nose right cheek broken nose,Major
doctor prescribed medication caused victim pas victim hit fire extinguisher falling breaking one tooth bruising jaw hit head floor needing one staple,Major
employee operated loader service road rough road may caused strain back left hip reported pain back hip operating loader get reported employee went doctor reporting manager,Major
descending cab truck employee bumped right elbow handrail step,Major
board splintered stepping across barge,Major
pulling dragline flywheel pulled muscle left shoulder,Minor
ee stepping cab ford boom truck slipped fell spilled diesel fuel ee fell approx 45 ground ee fueled boom truck spilled fuel,Major
going driving tandem loader stock yard truck would start used transportation truck parked front tandem jumped truck started went gear pinned truck tandem,Major
employee broke right hand removing rock plugging impact crusher employee used diameter chain pull rock impact rock impactor employee positioned right hand around chain guide final placement chain slipped falling 6 inch causing injury right hand injury restricted duty,Major
broke first finger mashed 1st 2nd finger left hand caught v belt pulley attempting replace belt,Major
ee shovling lime beside kiln also lifting bar prying buildup inside kiln shoveling ee felt pull stomach,Major
employee removing material around plant area rock ejected screen struck,Minor
employee attempting mount ladder cat 740b haul truck right hand grabbed hold rail grease shifted weight ladder hand slipped fell ladder weight came left,Major
employee working heavily area,Minor
arrived mine 1st shift supervisor found dozer company 221 burned night evening shift parked dozer sign foul play,Minor
ee left handed using 4lb hammer hand drive dump shaft onto mobile bridge 3 hammer glanced shaft hit sprocket small piece metal sprocket flew right hand causing injury piece metal entered middle knuckle embedded top right hand puncture wound laceration cut vein top hand,Major
known exact cause accident ee working clinker stacker trailer belt conveyor go stair trailer sloped ramp break pain seem ed worse ee history back problem,Major
2 men pulling pump guard felt like strained left shoulder lost strength felt pain,Major
pulling bag suddenly felt sharp pain,Major
cut thumb using lunch room opener,Minor
ee holding onto pipe footing felt pop left wrist,Major
ee changing air seal pump using piece round stock hammer rotate shaft collar position round stock dislodged struck hit ee lower lip causing laceration ee taken medical evaluation received 1 one suture released work restriction,Minor
ee reported straining back helping carry section vactor hose ee sent company diagnosed back strain returned work restriction,Major
ee removed scaffold leg scaffold dismantle incorrect positioning allowed much force applied left knee causing sprain employee trying hand scaffold leg another employee incident occurred,Major
employee walking portable restroom slipped piece grating placed front restroom clean boot slipped fell ground placed hand catch struck grating causing laceration finger requiring suture,Major
injured employee attempted drive form stake ground using 10 lb sledge hammer missed stake head hammer stiking right index finger stake handle hammer causing laceration,Minor
ee walking tool box storage area tripped corner tool box fell another tool box contacting face employee received fracture orbital area left side face,Major
carrying 12 fiber glass pole 4 wheeler pole hit side mountain broke punctured high leg,Minor
cutting plastic pipe utility knife cut left index finger,Minor
walking step ee left foot got caught step resulting knee popping joint popping back,Major
shoulder strain neck pain,Major
ee trimming wire pocket knife knife slipped wire lacerated ee left hand,Major
employee walking track crawler dozer twisted knee,Major
positioning shovel dipper haul truck bed rock fell truck bed,Major
employee removing used ripper point back service truck tossing next last ripper point reaching last ripper point employee felt something impact left tricep see anything continued reach last ripper point noticed blood trickling arm,Minor
employee shift began employee operating haul truck felt back tighten loaded shovel,Major
employee shift began employee removing lock piece equipment felt jolt electricity,Major
employee drill operator employee ground measuring hole slipped dirt landing right hand,Major
employee shift began installing transmission haul truck weld broke chain struck resulting fracture right arm,Major
employee holding nut washer place putting cutting edge 27 rubber tire employee accidently hit trigger impact gun smashed pointing finger middle finger left hand,Major
using sledge hammer work approximately 2 week employee feeling pain right elbow,Major
employee preparing vulcanizing equipment lifting twisting strained lower right back,Major
employee walking trailer step twisted ankle last step ankle support brace given,Minor
employee standing cell line harvesting copper strongback employee foot wedged cathode took step back twisted knee,Major
unloading box flatbed truck content pipe cutter fell box landed employee left thigh,Major
employee slaking load lime splashed lime slurry resulting chemical burn employee inspecting level slaker lime splashed tank,Major
ee disassembling screen stepping tube cover floor area left foot landed 3x3 piece angle iron sprained left ankle ee go clinic later night,Major
employee hosing 5 west ball mill employee stepping mud employee attempted step backwards however left foot stuck mud employee fell backwards straining left knee,Major
employee stepping curb twisted right ankle,Major
employee spraying wash bay tripped set wheel chock,Minor
employee working wheel well haul truck struck falling piece mud,Major
pinched cut left ring finger sharp piece metal,Major
removing wing bit cutting edge rubber tire dozer ee cut right ring finger laceration required suture,Major
conducting around conveyor secondary crusher employee experienced dehydration issue taken emergency room later released diagnosis heat exhaustion,Minor
ee process lowering monorail beam culing beam released anchor bolt beam turned rigging swung ee motion beam pinned ee hand ee chest causing simple fracture,Major
employee sprained shoulder lifting dozer belly pan,Major
employee stung bee causing allergic reaction,Minor
employee examining ac motor haul truck finger made contact fan motor resulting laceration right index finger,Minor
employee smashed thumb ball bucket mechanism reaching underside mill ball bucket remove stuck ball,Minor
age related injury knee walking step,Minor
employee removing jam nut deck primary crusher left hand crushed wrench spider shell resulting contusion left little finger,Major
employee entered moly plant elevator 1st floor contractor washing floor accidentally hosed water shaft causing elevator control fuse short circuit employee trapped elevator 1st 2nd floor approximately 1 hour fuse replaced,Minor
employee received chemical burn neck arm cut right eye explosion occurred closed valve tote containing hydrogen peroxide,Major
ee assisting mill liner job liner dolly nudged ee leg startled quickly turned causing pain lower back ee require medical attention time requested see treated ee continued feel discomfort scripted pt,Major
eating lunch ee walking south bay door sierrita water company shop concrete pad stepped onto ground left ankle rolled underneath twisted,Major
ee hosing floor 12 mill sump slurry dripped ee safety glass started irritated eye,Major
employee walking across shop pushing wheelbarrow slipped oil water floor landed floor knee twisted ee seek medical attention,Major
employee exiting 612 boom truck right foot slipped truck step,Major
employee hearing tested diagnosed standard threshold shift per company doctor currently treated vetrens hospital military exposure hearing loss,Minor
haul truck 450 drove berm causing truck flip right side operator unhurt accident still investigation,Minor
employee exacerbation personal medical condition refused ambulance transportation left property received notification workman comp carrier claim accepted fracture right knee,Major
ee rebuilding haul road berm loader loader tipped due steep grade bruised contusion,Major
slipped concrete slab cut right shin bone,Major
employee getting ready cut vacuum hose supervisor told wait truck turned employee continued cut hose got face close end hose face sucked end remained truck turned 30 second,Minor
employee tripped pavement lip parking lot,Minor
employee standing discharge end 3 rod mill stepped foward grab discharge box grading moved causing fall hole inch deep employee sustained sprain right knee leg case first aid become restricted seeing doctor,Major
employee working sump pump using torch cut bearing flash occurred causing ball fire come towards ball fire caused multiple burn face neck right forearm near wrist,Major
employee tripped fell falling grabbed side trailer cut palm self tapping screw employee received 11 stitch,Minor
employee driving pin loader bucket piece metal flew hit left ear asked see doctor ear sore determined 2mm piece metal lodged outer edge left ear decided piece metal removed,Minor
employee shoveling wheeling wheel barrow experienced numbness tingling right leg foot,Major
attempting secure suction intake line pump ee felt pain lower abdomen ee seen local clinic released work restriction,Major
placing socket set cabinet lower tool room felt slight pain back,Major
ee stated trying break loose material stuck jaw crusher material fell causing bar using fall crusher jaw pinned momentarily finger bar part unit structure,Minor
worker dust unknown source blow right eye attempted remove unsuccessful removed worker sustained corneal abrasion return work regular duty,Minor
dozer left work area traveled along edge highwall came stop dozer went reverse ground underneath left track gave way causing dozer fall highwall dozer landed upright position base highwall,Major
employee operating wash plant got fourth finger left hand caught conveyor took top layer skin finger stitch required,Minor
employee slipped ice upper parking lot getting car right ankle sprain,Major
crew performing maintenance rock crusher windy day employee state small object blew eye even though wearing protective goggles eye glass immediately rinsed eye eye wash irritation continued week sought medical attention diagnosed scratch right eye,Minor
employee turned hit arm leg lime silo crusher,Major
injured rolling beam cut strained back,Major
pulling 36 conveyor belt place ee strained abdominal wall,Major
employee removing obstruction spring loaded backflow preventer valve screwdriver using open plate slipped caught middle finger left hand causing laceration,Minor
cleaning work area bending lifting piece metal repetitively,Major
rock fall pit wall breaking windshield 988b loader operator sustained right forearm laceration,Major
cutting conveyor belt draw knife knife slipped cut thigh,Minor
prying motor bar bar slipped,Minor
attempting remove stuck drill steel ee strained lower back,Major
ee moving piece stone strained lower back lifted stone,Major
piece rock fell leg splitting rock putting rock pallet rock fell noi accident happened per call alecia clifford mb,Major
ee lifting block junk stone work station clean area lifting stone weighing approx 100lbs sustained sharp pain right abdomen area physician diagnosis abdomenal strain released ret light duty status notice,Major
employee splitting block sandstone using 12 lb hammer stone chisel using left foot hold chisel position bench block stone could strike chisel split stone inadvertantly missed chisel struck left foot,Major
splitting stone felt pain back note ee released come back went visit put work longer period,Major
performing maintenance heater thermostat 988f wheel loader right hand middle finger came contact squirrel fan,Minor
busted chest cracked cartilege breathing problem,Major
operator hurry get loader lost balance tripped rock landing hip rt leg rt wrist hit ground rt arm hit loader tire sustained sprained wrist shoulder,Major
drilling face 690 rock rolled face miner jumped back avoid rock felt knee pop miner took ibuprofen finished shift miner got home knee started swell,Major
removing bucket teeth 988 loader replacement ee using sledge hammer remove one teeth upon striking one teeth piece metal came lodged skin underneath cheek bone full release,Minor
two maintenance employee raising liner discharge chute ground level one employee positioned inside four pound hammer employee outside impact drill employee inside began hammer liner employee outside noticed stuck positioned hand push left index finger struck,Major
ee fire watch debris welder grinding flew ee right eye,Minor
ee walking primary crusher grease house weather rain sleeting ee slipped tripped fell,Major
called due top punch plate detached mounting falling exit chute large screen raising pulling along center length chain attached upper corner punch plate plate got stuck using pry bar free plate chain hook released chain striking center forehead 8 stitch lost workday,Minor
lifting screen slipped hand cutting top hand,Minor
knelt tie wire blasting cap shot,Major
2 employee using metal strip side trailer truck bed prepairing repaint time afternoon 12th injured got piece metal eye ball pink eye eye still sore adn realize anything eye around noon safety glass face shield,Major
flying piece grating place 2250 crane grating hit piece existing steel contact caused toe board welded onto grating knocked toe board fell approximately 20 next level struck employee right eye,Minor
ee pulling wrench slipped causing ee pin left middle finger wrench piece angle iron,Major
employee attempting turn valve back pressure control felt pain left shoulder employee using wrench cheater bar employee quit upon feeling pain seek medical attention,Major
ee moving piece metal chute connected electric hoist injured lower back,Major
employee working 3 employee insert metal screen rotex screener inserting screen position employee pinched tip right ring finger screen screen housing,Minor
employee pushing mobile welder another maint employee pulling welder welder wheel hit uneven surface concrete floor causing back welder pushed shift left pinching employee left hand welder pushed stationary welder moving past,Major
employee slipped loose wet graules floor employee attempted catch got finger caught buildup conveyour ledge troughing idler,Major
employee experienced recordable standard shift workplace,Minor
ee reported driving lime spreader truck back began hurt driving rough terrain ee treated lower back strain local medical clinic returned work restriction,Major
injred ee working crane manbasket repairing flange water cooling loop asked partner hand another bolt flange partner reached h leaned acid line causing start leaking nipple flow meter another mechanic tried shut acid valve caused nippl,Major
wind blew dust eye causing scratch,Minor
task training volvo a40 ie jarred back sitting buddy seat due lack seat suspension diagnosed lower lumbar strain,Major
hydraulic hose crimping machine malfuncioned causing break piece hit head,Minor
mounting safety cover breaker grounded blew,Minor
employee standing lower part handrail putting rag hole sandbox rail broke fell 1 striking groin area top rail hit rail made tear penis scrotum requiring 11 stiches,Minor
pulling part old dragline repair loading dragline prying sliding spider gear shaft came end shaft pinched finger spider gear shoe,Major
removing pipe arc overhead crane using right hand keep pipe balanced watching pipe notice angle iron frame platform r hand smashed pipe angle iron causinglaceration right hand,Major
ee raking loose material belt pile shoveling shovel leaning wall behind shovel bumped causing fall belt thrown back wall shove handle broke piece handle struck ee left index finger resulting separation fracture knuckle joint,Major
employee placed ladder inside end dump bed reach head pulley bearing ladder slipped fell twisting ankle,Major
employee pulling motor picking spray bar hurt arm,Major
ee foot got caught chain bottom step end dump truck,Major
filling water truck employee slipped climbing truck injured left ankle,Major
working reset sump pumt injured slipped turned wrong causing strain rib,Major
2nd electronic filing incident apparently first filing go syste small flash occurred continuous miner operator grading bottom 8 entry flash instantaneous,Minor
piece sandstone fell top employee moved slightly sandstone grazed neck shoulder back,Major
rock stuck hoppr got bar prying loose rock fell hit hand,Major
bead breaker used breakdown tire cat 980 loader model bead breaker used intended type job bead breaker pumped slipped flew apprx 6 struck ee forehead transported baxter regional med ctr rec several stitch,Minor
dropped rock top foot trying stack pallet hitting left foot,Minor
lifting plate repair chute clinker breaker ee felt pain left shoulder requested see dr,Major
clearing feeder 4 employee pinched right little finger resulted contusion,Major
employee opening valve airline power plant ruptured blew surrounding debris face caused facial abrasion,Major
ee grinding piece slag entered left eye,Minor
employee struck face blowing cement dust,Minor
ee rebuilding brake moving part around felt strain lower back ee reported injury supervisor taken medical evaluation placed modified duty,Major
ee wife came plant said ee personal dr said file stress claim affected angina company disputing claim thru in carrier dr took work due angina,Minor
employee welding piece metal wash plant wearing shield weld lifted shield pick metal piece fell eye metal removed doctor fine,Minor
repetitive shoveling laborer wilson quarry,Major
unknown specific event cited incident injury useing hand tool,Major
employee descending ladder approx 5 high holding ladder right hand using left hand attach safety chain foot slipped right hand snagged half chain link welded safety chain attachment laceration palm right hand extending tip ring finger,Major
ee moving chute liner liner dropped left foot ee refused medical treatment discomfort continued requested medical attention showed fracture toe,Minor
employee state removing bad thermocouple hot material exited hole struck face causing 1st 2nd degree burn ear eye head,Major
employee using bob cat move clinker dust clinker dust blew employee left eye getting around safety glass wearing,Minor
ee assisting install ladder 4 roll crusher main floor c dept state turned step away felt knee pop denies catching foot equipment state disco mfort bad time however next 24 hour marked swelling increased discomfort knee treated immobilizer nwb,Major
ee driving se right towards extreme center another ee driving nw extreme right collision occurred front left quarter panel sustained neck back strain,Major
employee attempting mount bracket extension cord utilized power tool draped bottom step ee stepped cord going step slippe landing right knee grating surface step sustained 2 small laceration required closure suture,Major
trigger finger like syptoms rt ring finger insidious onset past 8 month sent evaluation dx trigger finger surgery scheduled august,Minor
slipped climbing dangled rt arm immediate cause concern progressed several day soreness stiffness reported incident responded well comfort measure exacerbation symptom caused call 30th sent eval resulting work day 10 day work rule hern disk,Major
employee started 12 noon day accident moving piece frame rotex lifted felt pain wrist waited report pm time sent clinic,Minor
ee entering cab 992 loader stepped seat belt latch twisted right knee,Major
manhole cover removed ee stepped area around barricaded,Minor
ee leaning chain guarding opening talking another ee ee fell approx 9 foot straight head concrete pavement,Major
2 ee removing airslide finish mill cement cooler one end heavy hold safely ee dropped end holding move hand way airslide fell right hand cutting middle finger right hand,Minor
employee stepped wall secondary crusher rolled right ankle rock,Minor
employee using chipping hammer clean screw conveyor working overhead slipped loose material causing twist sprain lower back,Major
ee prying door pry bar slipped bar slipped pinched left index finger pry bar kiln hood causing cut tip finger,Major
moving electrical panel lowering floor people cabinet slid floor everyone lost grip cabinet hit ee right knee,Major
employee working silo cleaning rock fell hit knee,Major
ee trying move struck level arm cement pump pushing experienced pain shoulder ee go dr may 5 dr recommended modified duty,Major
employee turned air hose hose slipped hand hit face knocked safety glass struck right eye,Major
ee working computer noticed right hand hurting swollen,Minor
moving product chute ratchet mechanism came thread fell right hand laceration swelling right hand,Major
ee state moving electrical shovel cable looking away cable 2nd ee pulling truck cable cameup behind tripping resulting fra ctured ankle,Major
audimetric record indicate standard threshold shift hearing,Minor
employee alleges fueling equipment rain fell mud state feel pain day later went physician told damaged rotator cuff employee reported incident,Minor
employee state moving cart pipe threading machine finger got smashed cart handle pole,Minor
ee claim bilateral carpal tunnel syndrome related repetitive motion work,Minor
ee sawing stone bandsaw rock turned drawing ee right hand blade removing tip 3rd finger,Major
denying claim ee medical leave copd filed cal state disability doctor told illness work related 2 month receiving money state california told claim backed filed workman compensation claim,Minor
turned desk chair trying move computer area caught chair leg spoke typing table leg went backwards struck head cinder block wall bent neck forward struck shoulder neck floor,Minor
employee injured small metal shard entered right forearm attempting remove ground engagement teeth bucket komatsu wa900 loader using 20lb sledge hammer knock teeth shank piece metal chipped tooth lodged arm,Major
employee pushing timber location felt strain left arm accident reported employer,Major
worker dropped crusher part hand cutting 3 finger possibly breaking one finger,Major
employee went see company doctor placed restricted duty cutting rubber utility knife knife slipped causing laceration required stitch,Major
stepping jaw crusher deck twisted right ankle stepped section steel mat expanded metal rolled ankle,Major
employee went see doctor placed restricted duty employee putting wheel chock back truck slippedand struck right shoulder,Major
slipped truck step,Major
employee descending stairway tripped turning onto permanent landing causing strain left knee,Major
employee using airline unplug line uncoupled line splashed material face eye,Minor
employee complaining pain possibly due carpal tunnel syndrome,Minor
employee exiting skid steer standing right tire stepped right foot left foot got hung tire tread causing pain left knee,Major
ee another ee building hopper 2 side panel held tack weld broke panel aligned causing one panel fall onto al place,Major
repeated hammering drift 678 blower pipe,Major
employee adjusting fork champ lift truck could move large tank pushing left fork left hand fork moved freely lost grip catching left index finger fork mast truck,Major
employee hammering wedge pin close door jaw crusher,Major
stepping ladder loader employee stepped onto fuel hose heel foot caused sprain right ankle alleged employee went see company doc tor placed restricted duty,Major
operating 5160 bobcat dumping bucket fine side screen 8 loose hyraulic hose fitting sprayed oil face chest,Minor
installing liner mill liner slipped pinched skin palm side right hand pinky finger employee elected voluntarily go home,Minor
employee lifting ladder strained lowerback,Major
employee coming stairway preheater tower twisted left knee,Major
improper lifting technique,Major
driver hit edge berm causing steering wheel spin right thumb got caught spoke caused wrist sprain,Major
ee mucking shaft bottom mucker jumped gear neutral struck haulage wall,Major
ee moving electrical cable loose material fell equipment apron hit right thumb,Major
blazing trail brush path ee came contact poison oak leafless state following day allergic reactionwas noticied spread part bod,Minor
employee walking sample shed tripped piece buried angle iron,Major
ee changing drill bit put hand pinch point wrench drill steel chain wrench activated left ring finger got pinched requiring suture,Minor
hurry crossing crusher platform tripped hit head,Minor
employee rounding corner water tank slipped mud employee landed right shoulder,Minor
taking cutting edge loader holding bolt hand using impact wrench take bolt bolt cut though glove cut hand,Major
employee manually rotating belt drive unit logwasher caught tip right middle finger nip point drive belt sheave bruising finger,Minor
hooking chain lift generator ready lift generator employee finger got caught chain,Major
using box cutter knife cut belting material conveyer slipped belting knife blade cut arm left wrist,Minor
employee removing broken bolt wrench slipped pulled shoulder employee worked following wednesday reported injury friday 5th november friday 29 said hurt shoulder case called sick monday asked wanted go doctor said 5th decided go doctor,Major
stepped ytruck stair twisted ankle,Major
ee finishing stone wearing safety glass full face mask hot chip landed face removed mask glass wipe away chip accidently wiped eye,Minor
2 miner lit fuse face round blast area prior mandated 1 hour wait period within 25 foot face misfire detonated company policy recent training 1 miner killed blast injured,Major
slippery surface foot slipped underneath landed backside top scraper,Major
hooking brake line brake valve laying platform shoulder arm machine pulling brake line felt pain lower back,Major
worker walking backwards tripped crusher mantle liner lying upside ground sustained injury rib upper back neck,Major
ee using wench pull two sleeved pipe apart inner 4 steel pipe rusted resisted smoothly sliding larger pipe finally released travelled 32 al lowing steel piping drop employee lower leg ankle,Major
worker strained back picking flagstone putting pallet,Major
employee hanging electrical power box fan starter injured hook cable hanger box slipped thier grip falling box pulled cable hanger hooked hand thumb forefinger resulting cut requiring 8 stitch,Minor
stepping back excavator operator slipped rock causing fall onto sharp broken rock result operator cut left hand beginning wrist,Minor
former employee alleges tore left rotator cuff work mentioned one day passing shoulder sore claim summitted dismissed multiple incident hearing injury allegedly occurred,Minor
shortness breath numbness limb,Minor
switching pump pond 4 2 others bobcat holding hose forklift holding pump employee muddy ground pond edge lifting hose foot slipped wet ground,Major
employee heart condition lunch felt chest discomfort approx two minute fine elected ambulance take hospital medical history checked hospital significant finding released work,Minor
employee hearing impaired baseline audiogram time hire experienced shift hearing since baseline,Minor
employee walking stair carrying shovel twisted back turning corner,Major
employee climbed scaffold ladder misjudged scaffold deck fell third bottom rung hitting right side scaffold midrail,Major
ee bending go roped area felt pull lower back pain stiffness set lower left side back,Major
ee working level 6 tower watertank plastic wrap around tank needed replaced water line would freeze ee removing plastic support structure 4x8 plywood 2x4s around outside came loose hit ee right knee ee light duty,Major
employee bent moving mining cable rock approximately fell striking employee lower back employee scaled rock area said remainder looked good,Major
employee carrying oil can hoist car roof bolter sudden knee started hurting,Major
grinding sheet metal bench grinder located maintenance shop grinder caught metal pulled pulling ee left edge grinder lacerating ee left thumb,Minor
lifted jackhammer felt sharp pain left testicle short break went work still felt discomfort abdominal area,Major
walking inside cooler room westside turned east south end cooler passing metal elevated platform foot went landed concrete left elbow striking first,Major
note employee receive medical treatment employee fell backward forklift cage causing right calf right ankle fork lift,Major
ee installing collar pipe lifter hole bent install collar pipe prevent filling lifter hole struck upon back piece loose rock drill jumbo utilized time method drilling resulted laceration back head abrasion contusion neck shoulder,Major
spooling cable spool rod hit rib sidewall knocking rock loose hit ee mouth cutting lip knocking tooth loose resulting suture,Minor
8 hour operating scraper 623 report injury work injury occurred week,Minor
employee lifting stone reached forward place stone pallet chest pain employee sent ccom evaluation doctor indicated sternum muscle inflamed doctor schedule employee physical therapy employee return work able perform stone palletizing task,Major
employee removing cover swamp cooler brushed old ladder resulted splinter employee arm several week later splinter remove physician suture required,Minor
ee pushing pipe backof trailer piece hit end trailer stopping pipe jamming hand,Minor
ee adjusting carburetor forklift put hand throttle rod released fan blade cut right hand middle knuckle,Minor
employee filling forklift propane bottle lifted bottle turned twisting back,Minor
bringing screen chute shop repair chute shifted forklift struck ee upon welding helmet shoulder knocking ground unresponsive aprox 10 second said ok 911 called anyway transported checked suffered cervical hip rt shoulder strain,Major
shoveling ditch felt something pull back never anything aggrevated condition work reported beenworking full duty whole time going steroid injection,Minor
employee stacking stone carrying piece stone stepped rock tripped twisted leg fracturing tibia,Major
